state_census_code,state,employment,members,state_abbreviation,year
11,Maine,418269.4933333335,87990.10333333327,ME,1983
11,Maine,443017.0799999995,84524.46083333332,ME,1984
11,Maine,454043.7633333327,77478.0733333333,ME,1985
11,Maine,454925.6891666657,75841.51166666672,ME,1986
11,Maine,468975.5491666662,89607.69750000015,ME,1987
11,Maine,491652.6775000002,81544.61999999998,ME,1988
11,Maine,506461.7483333326,76786.49250000004,ME,1989
11,Maine,507220.3175000003,88196.90999999999,ME,1990
11,Maine,489379.20333333424,89041.13000000008,ME,1991
11,Maine,510284.5099999997,75607.83083333337,ME,1992
11,Maine,494320.6483333331,69271.5058333333,ME,1993
11,Maine,460235.3604833326,71580.05187499999,ME,1994
11,Maine,501792.52865833347,78137.86294166661,ME,1995
11,Maine,534605.6920333334,77406.72728333334,ME,1996
11,Maine,531677.8364999999,71997.14764166664,ME,1997
11,Maine,525757.6246916673,66129.41785833339,ME,1998
11,Maine,544115.0292833337,83960.67599166663,ME,1999
11,Maine,556153.9043333338,78078.85831666666,ME,2000
11,Maine,564466.8601833337,72366.38947500003,ME,2001
11,Maine,561770.734650001,72849.882325,ME,2002
11,Maine,566855.2167333324,72508.03037500005,ME,2003
11,Maine,564174.1190250001,63677.70699999999,ME,2004
11,Maine,581709.7471166664,68966.24919999998,ME,2005
11,Maine,583868.731208332,69292.92710833333,ME,2006
11,Maine,573914.7210000012,67200.53719999996,ME,2007
11,Maine,573616.0812499982,70712.8733666666,ME,2008
11,Maine,542696.4067249994,63380.69926666663,ME,2009
11,Maine,543450.6602416653,62883.088791666625,ME,2010
11,Maine,554486.2035666656,62711.46896666672,ME,2011
11,Maine,559061.6658249993,64236.613308333355,ME,2012
11,Maine,573250.6280000011,63905.64968333327,ME,2013
11,Maine,566575.6526833317,62248.176333333395,ME,2014
11,Maine,548917.9475499998,63433.470016666666,ME,2015
11,Maine,567906.9682916661,64742.37995833334,ME,2016
11,Maine,576938.9386916661,65679.95420000001,ME,2017
11,Maine,572761.1299750002,73904.75734166666,ME,2018
11,Maine,589203.9312000014,69424.40492499998,ME,2019
11,Maine,556949.762816666,81184.65014166663,ME,2020
11,Maine,562840.7873416658,69647.84579166665,ME,2021
11,Maine,527921.0969833334,48423.61484166668,ME,2022
12,New Hampshire,423414.0524999999,48539.30083333332,NH,1983
12,New Hampshire,444222.68499999994,45923.299999999974,NH,1984
12,New Hampshire,455695.31166666734,48806.42666666664,NH,1985
12,New Hampshire,485181.904166667,53437.505,NH,1986
12,New Hampshire,507780.0399999994,50019.32083333333,NH,1987
12,New Hampshire,500669.4608333334,51170.538333333294,NH,1988
12,New Hampshire,508893.7533333334,58890.48,NH,1989
12,New Hampshire,516367.4608333335,59096.98583333336,NH,1990
12,New Hampshire,506473.9916666667,58469.47333333332,NH,1991
12,New Hampshire,497963.2733333328,48327.249999999985,NH,1992
12,New Hampshire,517959.5633333333,42704.43833333333,NH,1993
12,New Hampshire,514835.2012500008,55145.04611666664,NH,1994
