YEAR,1,2,3,4,5,6,7,8,9,10,11,12
1948,10.24209,9.48196,6.81818,8.27273,9.38497,9.375,9.76158,9.0625,6.65499,6.11087,4.77016,2.73387
1949,1.39358,1.01394,1.74468,0.41982,-0.41649,-0.95238,-2.86885,-2.98813,-2.50411,-2.63266,-1.90397,-1.82952
1950,-2.08247,-1.25471,-1.12923,-1.12876,-0.58553,-0.16722,1.56118,2.1097,2.48421,3.50655,3.79747,5.80263
1951,7.95406,9.4028,9.47547,9.59831,9.3395,8.58459,7.64437,6.8595,6.9433,6.77551,6.99187,5.96477
1952,4.21592,2.24545,1.97063,2.08333,1.84686,2.31392,2.97183,3.20959,2.30503,2.02599,1.40578,0.90669
1953,0.71834,0.68156,0.90944,0.86924,0.86891,0.90464,0.41229,0.59948,0.97634,0.97415,0.59948,0.59903
1954,1.12613,1.50432,1.12655,0.63694,0.86142,0.63504,0.26129,0,-0.29751,-0.85343,-0.26071,-0.37216
1955,-0.63103,-0.62986,-0.51987,-0.26061,-0.59413,-0.85375,-0.3723,-0.48417,0.1492,0.37425,0.37341,0.37355
1956,0.22413,0.14914,0.37327,0.52258,0.97124,1.64732,1.98057,2.20808,1.8622,2.57271,2.34375,2.82843
1957,3.13082,3.49963,3.60729,3.71333,3.58861,3.53591,3.29791,3.55181,3.54662,2.94438,3.27154,3.04017
1958,3.5056,3.23741,3.62527,3.61618,3.35714,2.84596,2.48315,2.3338,2.08333,2.08333,1.90074,1.75623
1959,1.2919,1.0453,0.34638,0.13822,0.34554,0.6918,0.89997,0.8293,1.17606,1.52196,1.38169,1.51881
1960,1.24095,1.41379,1.51881,1.93237,1.82507,1.71762,1.37221,1.47361,1.23077,1.36286,1.46508,1.36008
1961,1.60027,1.46209,1.46209,0.91401,0.91309,0.77676,1.25212,1.11449,1.24958,0.77311,0.67159,0.67092
1962,0.67024,0.90483,1.1059,1.34183,1.34048,1.23995,1.00267,1.1356,1.46765,1.33422,1.33422,1.23292
1963,1.33156,1.22883,1.12695,0.89374,0.89286,1.32406,1.55526,1.55218,0.98619,1.21791,1.31666,1.64582
1964,1.64258,1.41076,1.40937,1.54199,1.54048,1.30676,1.07527,0.97561,1.17188,1.20325,1.39701,1.19819
