question_id,pollster,numeric_grade,methodology,state,start_date,end_date,sample_size,population,internal,partisan,office_type,answer,pct
138491,Lake Research,1.2,Live Phone,NA,10/31/20,11/3/20,2400,lv,NA,DEM,U.S. President,Biden,51
138491,Lake Research,1.2,Live Phone,NA,10/31/20,11/3/20,2400,lv,NA,DEM,U.S. President,Trump,48
142781,The Political Matrix/The Listener Group,0.7,IVR,Florida,11/2/20,11/2/20,966,lv,NA,NA,U.S. President,Biden,44.2
142781,The Political Matrix/The Listener Group,0.7,IVR,Florida,11/2/20,11/2/20,966,lv,NA,NA,U.S. President,Trump,48
136283,PPP,1.4,IVR/Text,Iowa,11/1/20,11/2/20,871,v,NA,NA,U.S. President,Biden,49
136283,PPP,1.4,IVR/Text,Iowa,11/1/20,11/2/20,871,v,NA,NA,U.S. President,Trump,48
136322,Susquehanna,2.3,Live Phone,Pennsylvania,11/1/20,11/2/20,499,lv,NA,NA,U.S. President,Biden,48.4
136322,Susquehanna,2.3,Live Phone,Pennsylvania,11/1/20,11/2/20,499,lv,NA,NA,U.S. President,Trump,49.2
136322,Susquehanna,2.3,Live Phone,Pennsylvania,11/1/20,11/2/20,499,lv,NA,NA,U.S. President,Jorgensen,1.4
136491,InsiderAdvantage,2,IVR/Live Phone,Florida,11/1/20,11/2/20,400,lv,NA,NA,U.S. President,Biden,47
136491,InsiderAdvantage,2,IVR/Live Phone,Florida,11/1/20,11/2/20,400,lv,NA,NA,U.S. President,Trump,48.2
136491,InsiderAdvantage,2,IVR/Live Phone,Florida,11/1/20,11/2/20,400,lv,NA,NA,U.S. President,Jorgensen,1.6
136338,Research Co.,2.4,Online Panel,NA,10/31/20,11/2/20,1025,lv,NA,NA,U.S. President,Biden,50
136338,Research Co.,2.4,Online Panel,NA,10/31/20,11/2/20,1025,lv,NA,NA,U.S. President,Trump,42
136338,Research Co.,2.4,Online Panel,NA,10/31/20,11/2/20,1025,lv,NA,NA,U.S. President,Jorgensen,1
136338,Research Co.,2.4,Online Panel,NA,10/31/20,11/2/20,1025,lv,NA,NA,U.S. President,Hawkins,1
136474,YouGov,3,Online Panel,NA,10/31/20,11/2/20,1500,rv,NA,NA,U.S. President,Biden,49
136474,YouGov,3,Online Panel,NA,10/31/20,11/2/20,1500,rv,NA,NA,U.S. President,Trump,40
136475,YouGov,3,Online Panel,NA,10/31/20,11/2/20,1363,lv,NA,NA,U.S. President,Biden,53
136475,YouGov,3,Online Panel,NA,10/31/20,11/2/20,1363,lv,NA,NA,U.S. President,Trump,43
136485,Ipsos,2.8,Probability Panel,NA,10/31/20,11/2/20,1333,a,NA,NA,U.S. President,Biden,51
136485,Ipsos,2.8,Probability Panel,NA,10/31/20,11/2/20,1333,a,NA,NA,U.S. President,Trump,46
136486,Ipsos,2.8,Probability Panel,NA,10/31/20,11/2/20,1146,rv,NA,NA,U.S. President,Biden,52
136486,Ipsos,2.8,Probability Panel,NA,10/31/20,11/2/20,1146,rv,NA,NA,U.S. President,Trump,45
136487,Ipsos,2.8,Probability Panel,NA,10/31/20,11/2/20,914,lv,NA,NA,U.S. President,Biden,52
136487,Ipsos,2.8,Probability Panel,NA,10/31/20,11/2/20,914,lv,NA,NA,U.S. President,Trump,45
136610,Trafalgar Group,0.7,IVR/Live Phone/Text/Online Panel/Email,Florida,10/31/20,11/2/20,1054,lv,NA,REP,U.S. President,Biden,47.3
136610,Trafalgar Group,0.7,IVR/Live Phone/Text/Online Panel/Email,Florida,10/31/20,11/2/20,1054,lv,NA,REP,U.S. President,Trump,49.4
136610,Trafalgar Group,0.7,IVR/Live Phone/Text/Online Panel/Email,Florida,10/31/20,11/2/20,1054,lv,NA,REP,U.S. President,Jorgensen,1.6
136616,SurveyMonkey,2,Online Panel,NA,10/31/20,11/2/20,28240,rv,NA,NA,U.S. President,Biden,52
136616,SurveyMonkey,2,Online Panel,NA,10/31/20,11/2/20,28240,rv,NA,NA,U.S. President,Trump,45
136668,SurveyMonkey,2,Online Panel,NA,10/31/20,11/2/20,28240,lv,NA,NA,U.S. President,Biden,52
136668,SurveyMonkey,2,Online Panel,NA,10/31/20,11/2/20,28240,lv,NA,NA,U.S. President,Trump,46
136720,Trafalgar Group,0.7,IVR/Live Phone/Text/Online Panel/Email,Nevada,10/31/20,11/2/20,1024,lv,NA,REP,U.S. President,Biden,48.4
136720,Trafalgar Group,0.7,IVR/Live Phone/Text/Online Panel/Email,Nevada,10/31/20,11/2/20,1024,lv,NA,REP,U.S. President,Trump,49.1
136720,Trafalgar Group,0.7,IVR/Live Phone/Text/Online Panel/Email,Nevada,10/31/20,11/2/20,1024,lv,NA,REP,U.S. President,Jorgensen,1.2
136721,Trafalgar Group,0.7,IVR/Live Phone/Text/Online Panel/Email,Georgia,10/31/20,11/2/20,1041,lv,NA,REP,U.S. President,Biden,45.4
136721,Trafalgar Group,0.7,IVR/Live Phone/Text/Online Panel/Email,Georgia,10/31/20,11/2/20,1041,lv,NA,REP,U.S. President,Trump,49.7
