question_id,pollster,numeric_grade,methodology,state,month,year,sample_size,Biden,Trump
138491,Lake Research,1.2,Live Phone,NA,11,2020,2400,51,48
142781,The Political Matrix/The Listener Group,0.7,IVR,FLORIDA,11,2020,966,44.2,48
136283,PPP,1.4,IVR/Text,IOWA,11,2020,871,49,48
136322,Susquehanna,2.3,Live Phone,PENNSYLVANIA,11,2020,499,48.4,49.2
136491,InsiderAdvantage,2,IVR/Live Phone,FLORIDA,11,2020,400,47,48.2
136338,Research Co.,2.4,Online Panel,NA,11,2020,1025,50,42
136474,YouGov,3,Online Panel,NA,11,2020,1500,49,40
136475,YouGov,3,Online Panel,NA,11,2020,1363,53,43
136485,Ipsos,2.8,Probability Panel,NA,11,2020,1333,51,46
136486,Ipsos,2.8,Probability Panel,NA,11,2020,1146,52,45
136487,Ipsos,2.8,Probability Panel,NA,11,2020,914,52,45
136610,Trafalgar Group,0.7,IVR/Live Phone/Text/Online Panel/Email,FLORIDA,11,2020,1054,47.3,49.4
136616,SurveyMonkey,2,Online Panel,NA,11,2020,28240,52,45
136668,SurveyMonkey,2,Online Panel,NA,11,2020,28240,52,46
136720,Trafalgar Group,0.7,IVR/Live Phone/Text/Online Panel/Email,NEVADA,11,2020,1024,48.4,49.1
136721,Trafalgar Group,0.7,IVR/Live Phone/Text/Online Panel/Email,GEORGIA,11,2020,1041,45.4,49.7
136727,Øptimus,NA,Live Phone,SOUTH CAROLINA,11,2020,817,39,51.4
137480,HarrisX,1.5,Online Panel,NA,11,2020,2813,51,49
137481,HarrisX,1.5,Online Panel,NA,11,2020,2297,52,48
136533,University of Nevada Las Vegas Lee Business School,NA,Online Panel,NEBRASKA CD-2,11,2020,191,50.2,44.3
136537,Change Research,1.4,Text-to-Web/Online Ad,NEBRASKA CD-2,11,2020,547,50,47
136544,Change Research,1.4,Text-to-Web/Online Ad,MONTANA,11,2020,920,45,50
136602,Change Research,1.4,Text-to-Web/Online Ad,MAINE,11,2020,1024,52,40
136601,Change Research,1.4,Text-to-Web/Online Ad,MAINE CD-2,11,2020,475,47,46
136605,Change Research,1.4,Text-to-Web/Online Ad,MAINE CD-2,11,2020,475,50,50
136606,Change Research,1.4,Text-to-Web/Online Ad,MAINE CD-1,11,2020,549,56,35
136725,TIPP,1.8,Live Phone/Online Panel,NA,11,2020,1212,50.2,46.2
136726,TIPP,1.8,Live Phone/Online Panel,NA,11,2020,1212,50.7,45.9
136341,Ipsos,2.8,Probability Panel,ARIZONA,11,2020,610,50,48
136342,Ipsos,2.8,Probability Panel,ARIZONA,11,2020,610,50,47
136547,Swayable,NA,Online Ad,FLORIDA,11,2020,1261,53,45.5
136552,Swayable,NA,Online Ad,NORTH CAROLINA,11,2020,690,52.3,46.4
136555,Swayable,NA,Online Ad,PENNSYLVANIA,11,2020,1107,49.9,48.4
136556,Swayable,NA,Online Ad,TEXAS,11,2020,1151,47.2,51.2
136722,USC Dornsife,2.4,Probability Panel,NA,11,2020,5327,52.68,42.12
136723,USC Dornsife,2.4,Probability Panel,NA,11,2020,5423,54.27,42.08
136724,USC Dornsife,2.4,Probability Panel,NA,11,2020,5423,53.53,42.64
136617,SurveyMonkey,2,Online Panel,WYOMING,11,2020,367,32,66
136669,SurveyMonkey,2,Online Panel,WYOMING,11,2020,367,33,66
136618,SurveyMonkey,2,Online Panel,WEST VIRGINIA,11,2020,816,32,67
136670,SurveyMonkey,2,Online Panel,WEST VIRGINIA,11,2020,816,32,67
136619,SurveyMonkey,2,Online Panel,WISCONSIN,11,2020,2814,55,43
136671,SurveyMonkey,2,Online Panel,WISCONSIN,11,2020,2814,54,44
136620,SurveyMonkey,2,Online Panel,WASHINGTON,11,2020,4142,62,35
136672,SurveyMonkey,2,Online Panel,WASHINGTON,11,2020,4142,62,35
136621,SurveyMonkey,2,Online Panel,VERMONT,11,2020,906,68,28
136673,SurveyMonkey,2,Online Panel,VERMONT,11,2020,906,71,26
136622,SurveyMonkey,2,Online Panel,VIRGINIA,11,2020,4550,57,39
136674,SurveyMonkey,2,Online Panel,VIRGINIA,11,2020,4550,57,41
136623,SurveyMonkey,2,Online Panel,UTAH,11,2020,1586,43,55
136675,SurveyMonkey,2,Online Panel,UTAH,11,2020,1586,43,55
136624,SurveyMonkey,2,Online Panel,TEXAS,11,2020,9226,50,47
136676,SurveyMonkey,2,Online Panel,TEXAS,11,2020,9226,47,51
136625,SurveyMonkey,2,Online Panel,TENNESSEE,11,2020,3342,47,51
136677,SurveyMonkey,2,Online Panel,TENNESSEE,11,2020,3342,45,54
136626,SurveyMonkey,2,Online Panel,SOUTH DAKOTA,11,2020,606,37,61
136678,SurveyMonkey,2,Online Panel,SOUTH DAKOTA,11,2020,606,36,63
136627,SurveyMonkey,2,Online Panel,SOUTH CAROLINA,11,2020,2485,44,53
136679,SurveyMonkey,2,Online Panel,SOUTH CAROLINA,11,2020,2485,42,56
136628,SurveyMonkey,2,Online Panel,RHODE ISLAND,11,2020,566,62,36
136680,SurveyMonkey,2,Online Panel,RHODE ISLAND,11,2020,566,62,36
136629,SurveyMonkey,2,Online Panel,PENNSYLVANIA,11,2020,6045,52,45
136681,SurveyMonkey,2,Online Panel,PENNSYLVANIA,11,2020,6045,52,47
136630,SurveyMonkey,2,Online Panel,OREGON,11,2020,3543,59,39
136682,SurveyMonkey,2,Online Panel,OREGON,11,2020,3543,59,39
136631,SurveyMonkey,2,Online Panel,OKLAHOMA,11,2020,1902,36,63
136683,SurveyMonkey,2,Online Panel,OKLAHOMA,11,2020,1902,35,65
136632,SurveyMonkey,2,Online Panel,OHIO,11,2020,6025,48,50
136684,SurveyMonkey,2,Online Panel,OHIO,11,2020,6025,47,51
136633,SurveyMonkey,2,Online Panel,NEW YORK,11,2020,6548,62,34
136685,SurveyMonkey,2,Online Panel,NEW YORK,11,2020,6548,63,35
136634,SurveyMonkey,2,Online Panel,NEVADA,11,2020,2366,50,48
136686,SurveyMonkey,2,Online Panel,NEVADA,11,2020,2366,49,49
136635,SurveyMonkey,2,Online Panel,NEW MEXICO,11,2020,1481,56,42
136687,SurveyMonkey,2,Online Panel,NEW MEXICO,11,2020,1481,56,42
136636,SurveyMonkey,2,Online Panel,NEW JERSEY,11,2020,3870,59,38
136688,SurveyMonkey,2,Online Panel,NEW JERSEY,11,2020,3870,59,38
136637,SurveyMonkey,2,Online Panel,NEW HAMPSHIRE,11,2020,1013,54,43
136689,SurveyMonkey,2,Online Panel,NEW HAMPSHIRE,11,2020,1013,54,45
136638,SurveyMonkey,2,Online Panel,NEBRASKA,11,2020,1742,44,54
136690,SurveyMonkey,2,Online Panel,NEBRASKA,11,2020,1742,43,56
136639,SurveyMonkey,2,Online Panel,NORTH DAKOTA,11,2020,402,40,58
136691,SurveyMonkey,2,Online Panel,NORTH DAKOTA,11,2020,402,39,59
136640,SurveyMonkey,2,Online Panel,NORTH CAROLINA,11,2020,5363,51,47
136692,SurveyMonkey,2,Online Panel,NORTH CAROLINA,11,2020,5363,50,48
136641,SurveyMonkey,2,Online Panel,MONTANA,11,2020,1021,46,51
136693,SurveyMonkey,2,Online Panel,MONTANA,11,2020,1021,46,52
136642,SurveyMonkey,2,Online Panel,MISSISSIPPI,11,2020,1461,42,56
136694,SurveyMonkey,2,Online Panel,MISSISSIPPI,11,2020,1461,37,61
136643,SurveyMonkey,2,Online Panel,MISSOURI,11,2020,2926,44,53
136695,SurveyMonkey,2,Online Panel,MISSOURI,11,2020,2926,44,54
136644,SurveyMonkey,2,Online Panel,MINNESOTA,11,2020,3031,55,42
136696,SurveyMonkey,2,Online Panel,MINNESOTA,11,2020,3031,56,41
136645,SurveyMonkey,2,Online Panel,MICHIGAN,11,2020,4549,52,45
136697,SurveyMonkey,2,Online Panel,MICHIGAN,11,2020,4549,52,46
136646,SurveyMonkey,2,Online Panel,MAINE,11,2020,1274,57,40
136698,SurveyMonkey,2,Online Panel,MAINE,11,2020,1274,56,42
136647,SurveyMonkey,2,Online Panel,MARYLAND,11,2020,3216,67,30
136699,SurveyMonkey,2,Online Panel,MARYLAND,11,2020,3216,66,31
136648,SurveyMonkey,2,Online Panel,MASSACHUSETTS,11,2020,3653,68,29
136700,SurveyMonkey,2,Online Panel,MASSACHUSETTS,11,2020,3653,69,29
136649,SurveyMonkey,2,Online Panel,LOUISIANA,11,2020,1556,39,57
136701,SurveyMonkey,2,Online Panel,LOUISIANA,11,2020,1556,36,62
136650,SurveyMonkey,2,Online Panel,KENTUCKY,11,2020,2009,40,58
136702,SurveyMonkey,2,Online Panel,KENTUCKY,11,2020,2009,40,59
136651,SurveyMonkey,2,Online Panel,KANSAS,11,2020,2321,44,53
136703,SurveyMonkey,2,Online Panel,KANSAS,11,2020,2321,44,55
136652,SurveyMonkey,2,Online Panel,INDIANA,11,2020,2729,44,53
136704,SurveyMonkey,2,Online Panel,INDIANA,11,2020,2729,44,54
136653,SurveyMonkey,2,Online Panel,ILLINOIS,11,2020,5643,58,39
136705,SurveyMonkey,2,Online Panel,ILLINOIS,11,2020,5643,58,40
136654,SurveyMonkey,2,Online Panel,IDAHO,11,2020,909,41,57
136706,SurveyMonkey,2,Online Panel,IDAHO,11,2020,909,40,58
