state_cens,state,state2,empl,member,year
63,Alabama,AL,1352749.8433333326,228177.03583333344,1983
94,Alaska,AK,167935.37416666653,41742.816666666666,1983
86,Arizona,AZ,1091732.0624999988,124961.29083333329,1983
71,Arkansas,AR,748345.2691666649,82221.43916666666,1983
93,California,CA,9666217.200000029,2118885.1483333316,1983
84,Colorado,CO,1308965.198333329,177889.71583333338,1983
16,Connecticut,CT,1381924.0041666655,314013.68916666653,1983
51,Delaware,DE,244785.31333333388,49187.5883333333,1983
53,District of Columbia,DC,268327.10916666687,52353.23499999996,1983
59,Florida,FL,3851182.4591666632,393749.4491666672,1983
58,Georgia,GA,2251023.7183333295,267041.1133333335,1983
95,Hawaii,HI,385425.1166666669,112564.7025,1983
82,Idaho,ID,331693.5100000002,41312.35749999998,1983
33,Illinois,IL,4393651.7574999975,1063753.6891666665,1983
32,Indiana,IN,2019118.1500000043,503302.8274999998,1983
42,Iowa,IA,1078254.186666665,185873.1383333334,1983
47,Kansas,KS,910988.6408333324,125216.59083333332,1983
61,Kentucky,KY,1249436.4766666663,223715.1624999998,1983
72,Louisiana,LA,1480074.3516666691,204208.2275,1983
11,Maine,ME,418269.4933333334,87990.10333333336,1983
52,Maryland,MD,1868079.4833333308,346490.4908333332,1983
14,Massachusetts,MA,2540620.8966666744,603186.8416666667,1983
34,Michigan,MI,3306798.5541666695,1005445.9083333331,1983
41,Minnesota,MN,1697950.1774999965,393944.1199999998,1983
64,Mississippi,MS,799794.4066666678,79350.79333333333,1983
43,Missouri,MO,1798242.9566666607,374444.49916666665,1983
81,Montana,MT,270357.8400000002,49515.44666666664,1983
46,Nebraska,NE,593361.9850000003,80641.35750000006,1983
88,Nevada,NV,401041.70916666725,89952.88666666672,1983
12,New Hampshire,NH,423414.0525,48539.30083333329,1983
22,New Jersey,NJ,3060227.1350000035,822104.8225000006,1983
85,New Mexico,NM,445708.36166666605,52556.78416666666,1983
21,New York,NY,6624973.391666658,2155623.470000005,1983
56,North Carolina,NC,2338878.0116666663,178656.3375000001,1983
44,North Dakota,ND,215376.41416666663,28405.219999999987,1983
31,Ohio,OH,4032347.9808333395,1011044.7524999995,1983
73,Oklahoma,OK,1143939.4258333342,131539.44249999995,1983
92,Oregon,OR,998676.8958333352,222877.7083333331,1983
23,Pennsylvania,PA,4346126.473333335,1195686.3766666667,1983
15,Rhode Island,RI,399721.0091666674,85801.46666666665,1983
57,South Carolina,SC,1175192.7100000014,69565.53583333336,1983
45,South Dakota,SD,233171.3258333328,26817.020833333325,1983
62,Tennessee,TN,1668152.3083333329,252357.57333333342,1983
74,Texas,TX,6010469.632500008,583715.4666666667,1983
87,Utah,UT,535062.7383333334,81569.08583333327,1983
13,Vermont,VT,205997.79166666695,25874.255,1983
54,Virginia,VA,2291002.5983333327,268306.6416666667,1983
91,Washington,WA,1549392.4399999978,419893.6641666665,1983
55,West Virginia,WV,563953.4816666667,142703.3783333333,1983
35,Wisconsin,WI,1955834.3383333376,465467.4733333332,1983
83,Wyoming,WY,195550.93916666624,27141.520000000004,1983
63,Alabama,AL,1386722.6033333344,207633.7966666668,1984
94,Alaska,AK,183264.4941666668,44294.79750000001,1984
86,Arizona,AZ,1166820.0008333332,106119.94250000002,1984
71,Arkansas,AR,794207.3566666665,76007.6383333333,1984
93,California,CA,10126289.802499969,2153360.6924999994,1984
84,Colorado,CO,1389799.7441666685,180370.81916666665,1984
16,Connecticut,CT,1443683.8124999974,293766.32250000024,1984
51,Delaware,DE,264023.513333334,46612.91,1984
53,District of Columbia,DC,269874.44916666637,47083.272500000014,1984
59,Florida,FL,4111011.6191666457,383770.74083333346,1984
58,Georgia,GA,2336510.1883333325,238011.68083333323,1984
95,Hawaii,HI,392019.39833333367,114511.90000000014,1984
82,Idaho,ID,350141.07500000007,31639.529166666674,1984
33,Illinois,IL,4536708.59166668,1016852.3366666664,1984
32,Indiana,IN,2148108.668333329,539535.9949999999,1984
42,Iowa,IA,1061946.968333332,181181.50083333324,1984
47,Kansas,KS,949393.4550000009,110536.87749999993,1984
61,Kentucky,KY,1340937.6599999992,225150.28750000003,1984
72,Louisiana,LA,1526764.9666666638,166435.54083333336,1984
11,Maine,ME,443017.07999999996,84524.46083333327,1984
52,Maryland,MD,1913924.2449999924,350909.9399999997,1984
14,Massachusetts,MA,2609008.677499987,555859.0066666666,1984
34,Michigan,MI,3447737.4016666743,1004251.2550000018,1984
41,Minnesota,MN,1777513.8866666714,406550.6175000002,1984
64,Mississippi,MS,823197.4724999983,79022.24416666663,1984
43,Missouri,MO,1888294.225000004,373517.98583333363,1984
81,Montana,MT,281757.4466666666,50757.584166666704,1984
46,Nebraska,NE,605741.4900000007,82354.73249999997,1984
88,Nevada,NV,420439.66166666726,98832.5049999999,1984
12,New Hampshire,NH,444222.68500000023,45923.30000000001,1984
22,New Jersey,NJ,3262128.9216666548,811027.6450000016,1984
85,New Mexico,NM,485954.3816666667,46648.43916666666,1984
21,New York,NY,6747928.080833351,2170028.335000006,1984
56,North Carolina,NC,2521452.068333336,185150.37583333332,1984
44,North Dakota,ND,228593.7575000003,28241.81666666665,1984
31,Ohio,OH,4183615.9025000143,992784.2358333323,1984
73,Oklahoma,OK,1213668.2349999966,124008.64666666661,1984
92,Oregon,OR,982822.6708333319,241216.2166666667,1984
23,Pennsylvania,PA,4519021.88416668,1123012.7725000018,1984
15,Rhode Island,RI,418179.82166666706,93882.44000000005,1984
57,South Carolina,SC,1252086.4133333345,51821.45416666666,1984
45,South Dakota,SD,250896.52833333367,26893.690833333323,1984
62,Tennessee,TN,1771077.7675000015,236420.61666666673,1984
74,Texas,TX,6387664.03666664,499815.04333333374,1984
87,Utah,UT,583183.7983333333,77371.81499999996,1984
13,Vermont,VT,224377.69250000024,25106.134166666674,1984
54,Virginia,VA,2427627.350833325,258748.9933333332,1984
91,Washington,WA,1556126.4091666671,398287.7141666664,1984
55,West Virginia,WV,583691.7999999993,139660.90250000003,1984
35,Wisconsin,WI,1963693.3608333308,483851.92500000016,1984
83,Wyoming,WY,197288.45666666672,30403.50583333335,1984
63,Alabama,AL,1444754.947499999,226614.0924999999,1985
94,Alaska,AK,191067.01250000024,47704.62250000001,1985
86,Arizona,AZ,1210791.500833334,115593.40583333337,1985
71,Arkansas,AR,815685.8091666662,91593.72249999999,1985
93,California,CA,10407705.592500024,2123121.3083333327,1985
84,Colorado,CO,1393892.3483333348,165173.5208333333,1985
16,Connecticut,CT,1468632.729166668,306462.7483333335,1985
51,Delaware,DE,275184.4441666664,45618.152500000004,1985
53,District of Columbia,DC,274108.9758333332,45207.8175,1985
59,Florida,FL,4332345.780833334,395169.2375000003,1985
58,Georgia,GA,2389005.131666666,239519.66583333354,1985
95,Hawaii,HI,394122.8650000005,109599.71250000005,1985
82,Idaho,ID,357194.4849999999,41724.72499999999,1985
33,Illinois,IL,4638389.36499998,1031718.6133333341,1985
32,Indiana,IN,2237681.923333337,476650.7858333336,1985
42,Iowa,IA,1066416.3000000003,181685.24166666667,1985
47,Kansas,KS,1010538.3941666648,128958.75249999997,1985
61,Kentucky,KY,1330815.079166669,219178.74583333338,1985
72,Louisiana,LA,1541465.3124999946,147948.59166666656,1985
11,Maine,ME,454043.76333333383,77478.07333333333,1985
52,Maryland,MD,1976817.930833332,329873.53250000003,1985
14,Massachusetts,MA,2681806.3025000086,495437.58833333355,1985
34,Michigan,MI,3533005.985000008,1004465.8008333343,1985
41,Minnesota,MN,1804329.9733333297,407542.9083333336,1985
64,Mississippi,MS,873891.5683333322,81312.70833333333,1985
43,Missouri,MO,2026305.1399999978,378338.0124999996,1985
81,Montana,MT,295062.5725000002,57269.665833333325,1985
46,Nebraska,NE,618784.8233333331,78820.17333333334,1985
88,Nevada,NV,414748.0449999993,89712.32999999996,1985
12,New Hampshire,NH,455695.3116666668,48806.426666666666,1985
22,New Jersey,NJ,3299771.9000000064,820972.4849999999,1985
85,New Mexico,NM,491732.7516666656,49381.308333333334,1985
21,New York,NY,6960943.979999976,2102267.3633333314,1985
56,North Carolina,NC,2629596.693333334,167014.92999999988,1985
44,North Dakota,ND,243954.14916666673,27866.955833333333,1985
31,Ohio,OH,4241283.513333345,998957.4333333328,1985
73,Oklahoma,OK,1225342.4566666675,128389.56833333339,1985
