year,state,state_po,county_name,county_fips,democrat_candidate,republican_candidate,democrat_candidatevotes,republican_candidatevotes
2000,ALABAMA,AL,AUTAUGA,1001,AL GORE,GEORGE W. BUSH,4942,11993
2000,ALABAMA,AL,BALDWIN,1003,AL GORE,GEORGE W. BUSH,13997,40872
2000,ALABAMA,AL,BARBOUR,1005,AL GORE,GEORGE W. BUSH,5188,5096
2000,ALABAMA,AL,BIBB,1007,AL GORE,GEORGE W. BUSH,2710,4273
2000,ALABAMA,AL,BLOUNT,1009,AL GORE,GEORGE W. BUSH,4977,12667
2000,ALABAMA,AL,BULLOCK,1011,AL GORE,GEORGE W. BUSH,3395,1433
2000,ALABAMA,AL,BUTLER,1013,AL GORE,GEORGE W. BUSH,3606,4127
2000,ALABAMA,AL,CALHOUN,1015,AL GORE,GEORGE W. BUSH,15781,22306
2000,ALABAMA,AL,CHAMBERS,1017,AL GORE,GEORGE W. BUSH,5616,6037
2000,ALABAMA,AL,CHEROKEE,1019,AL GORE,GEORGE W. BUSH,3497,4154
2000,ALABAMA,AL,CHILTON,1021,AL GORE,GEORGE W. BUSH,4806,10066
2000,ALABAMA,AL,CHOCTAW,1023,AL GORE,GEORGE W. BUSH,3707,3600
2000,ALABAMA,AL,CLARKE,1025,AL GORE,GEORGE W. BUSH,4679,5988
2000,ALABAMA,AL,CLAY,1027,AL GORE,GEORGE W. BUSH,2045,3719
2000,ALABAMA,AL,CLEBURNE,1029,AL GORE,GEORGE W. BUSH,1664,3333
2000,ALABAMA,AL,COFFEE,1031,AL GORE,GEORGE W. BUSH,5220,9938
2000,ALABAMA,AL,COLBERT,1033,AL GORE,GEORGE W. BUSH,10543,10518
2000,ALABAMA,AL,CONECUH,1035,AL GORE,GEORGE W. BUSH,2783,2699
2000,ALABAMA,AL,COOSA,1037,AL GORE,GEORGE W. BUSH,2104,2382
2000,ALABAMA,AL,COVINGTON,1039,AL GORE,GEORGE W. BUSH,4440,8961
2000,ALABAMA,AL,CRENSHAW,1041,AL GORE,GEORGE W. BUSH,1934,2793
2000,ALABAMA,AL,CULLMAN,1043,AL GORE,GEORGE W. BUSH,9758,19157
2000,ALABAMA,AL,DALE,1045,AL GORE,GEORGE W. BUSH,4906,10593
2000,ALABAMA,AL,DALLAS,1047,AL GORE,GEORGE W. BUSH,10967,7360
2000,ALABAMA,AL,DEKALB,1049,AL GORE,GEORGE W. BUSH,7056,12827
2000,ALABAMA,AL,ELMORE,1051,AL GORE,GEORGE W. BUSH,6652,16777
2000,ALABAMA,AL,ESCAMBIA,1053,AL GORE,GEORGE W. BUSH,4523,6975
