Document Title	Topic 0 Weight	Topic 1 Weight	Topic 2 Weight	Topic 3 Weight	Topic 4 Weight	Topic 5 Weight	Topic 6 Weight
1934	8.157653	16.956921	10.174152	36.296976	2.84143	3.849679	21.72319
1935	11.3396	12.514688	13.572268	32.608697	1.703878	1.351351	26.909518
1936	10.149942	18.22376	11.707035	34.659746	3.287197	2.133795	19.838524
1937	7.255048	13.762154	13.986537	32.23635	2.543007	0.897532	29.319373
1938	9.720312	16.964695	10.178817	36.130217	1.696469	2.246676	23.062815
1939	10.806271	13.269877	11.2542	33.034715	3.863382	2.463606	25.30795
1940	6.483957	21.657754	13.16845	33.221924	5.213904	1.871658	18.382353
1941	9.29928	19.253439	9.561231	40.406024	4.453176	1.506221	15.52063
1942	7.147296	13.175885	11.559975	46.426353	6.463642	4.164077	11.062772
1943	5.102041	14.139941	14.382896	40.621963	6.948493	3.35277	15.451895
1944	7.459338	21.25631	9.814919	35.726303	3.477285	2.075154	20.19069
1945	5.178446	13.925822	10.076977	41.217634	6.717984	3.638908	19.244227
1947	8.46543	9.173693	8.836425	38.043845	1.315346	0.505902	33.65936
1948	12.489796	9.306122	12.979592	30.44898	1.714286	0.44898	32.612246
1949	13.381124	10.872162	9.617682	29.45042	2.747909	1.433692	32.497013
1950	11.606392	14.129521	8.915055	32.92683	2.607233	0.967199	28.847772
1951	7.162384	11.427009	11.044286	45.544013	5.139421	1.913614	17.769273
1952	11.272275	9.573145	12.30833	41.525072	4.061335	4.309988	16.949855
1954	13	13.258064	9.387097	32.677418	1.935484	0.322581	29.419354
1955	14.580072	7.981221	8.059468	33.776733	1.956182	0.417319	33.229002
1956	12.401575	8.858268	6.102362	27.165353	3.543307	3.740158	38.188976
1957	12.386418	11.525586	6.456241	35.628885	2.534672	1.530368	29.937828
1958	12.296417	13.314332	9.649837	35.83062	3.420195	2.728013	22.760586
1959	12.188254	13.435237	9.895414	31.777957	4.062751	0.844731	27.795655
1960	11.241135	17.092198	11.77305	34.539008	2.056738	0.921986	22.375886
1962	12.626417	16.089489	11.247318	26.172236	5.730923	3.524364	24.609256
1963	15.469404	15.583429	12.50475	27.746105	6.271379	2.660585	19.764349
1964	15.28789	12.971541	15.023163	20.185308	7.743216	3.97088	24.818002
1965	13.974854	17.166345	12.572534	21.663442	7.350097	5.560929	21.7118
1966	14.84992	14.178514	13.586098	28.71248	7.503949	4.936809	16.232227
1967	19.722651	12.419106	13.528505	22.619414	7.180277	4.684129	19.845916
1968	20.846052	11.731356	9.201918	21.325774	8.678587	5.974705	22.241604
1970	25.2105	12.481426	13.868251	20.257553	5.002477	6.636949	16.542843
1971	30.35271	8.594138	20.168902	11.972181	7.501242	5.365127	16.045703
