Document Title,Topic 0 Weight,Topic 1 Weight,Topic 2 Weight,Topic 3 Weight,Topic 4 Weight,Topic 5 Weight,Topic 6 Weight
1946,22.199798,6.559031,48.839557,1.681803,3.363606,3.296334,14.059873
1947,23.759791,5.939948,51.7624,1.631854,5.483029,3.851175,7.571802
1948,21.06274,8.002561,37.06786,5.505762,3.265045,7.234315,17.861716
1949,25.048417,9.231763,41.05875,3.227889,1.872176,4.389929,15.171078
1950,15.079707,8.444636,36.363637,4.265403,9.866437,7.109005,18.871176
1951,17.298262,10.699955,34.641105,4.458315,11.101203,7.579135,14.222024
1952,19.035745,8.811305,36.824605,3.283458,7.98005,10.099751,13.965087
1953,16.714975,8.743961,39.227054,4.444445,12.270531,4.782608,13.816425
1954,18.912923,16.028841,39.378813,2.717693,8.818635,2.995008,11.148086
1955,19.782814,10.387158,46.789423,1.08593,7.979225,5.240793,8.734655
1956,20.526724,12.161116,37.25794,2.556158,4.957397,6.196747,16.34392
1957,12.763396,17.03793,45.273933,2.04696,9.391933,3.732691,9.753161
1958,19.387755,11.654136,42.749733,1.020408,4.511278,6.552094,14.124598
1959,19.67684,13.967684,40.96948,2.872532,4.91921,8.438061,9.156194
1960,15.36806,18.811882,34.524322,3.572966,3.400775,8.781747,15.54025
1961,14.50309,17.736566,25.53495,5.848787,5.420827,10.318592,20.637184
1962,16.37698,16.106606,28.582466,4.016995,7.300116,9.926613,17.690228
1963,13.473053,17.54491,21.077845,6.766467,4.730539,14.670658,21.736526
1964,19.209915,10.534469,27.110767,3.872967,8.288149,8.481797,22.501937
1965,19.03606,13.14147,28.25936,2.39251,8.876561,10.679612,17.614424
1966,27.548602,19.440493,31.104788,2.939782,6.448554,3.556188,8.961593
1967,28.861004,26.88224,23.889962,1.882239,5.357143,4.72973,8.397683
1968,21.004346,18.348624,28.585225,4.635442,7.967166,7.484307,11.974891
1969,23.383923,20.123665,17.369309,5.621136,9.94941,11.523328,12.02923
1970,22.953801,14.805384,30.41106,2.109858,5.383776,11.567843,12.768279
1971,28.552803,18.47023,25.9887,2.129509,4.606693,9.039548,11.212517
1972,28.298888,16.534181,21.780604,4.875464,6.677265,8.479067,13.354531
1973,15.522388,23.507462,20.597015,3.283582,4.701493,17.238806,15.149254
1974,23.532131,23.023579,12.713823,3.143782,4.392048,21.08183,12.112806
1975,26.141676,22.294138,20.783891,3.631787,2.409205,11.003236,13.736066
1976,24.549042,22.068772,15.586245,5.101465,5.693348,13.218714,13.782413
1977,17.708333,26.77696,14.705883,5.453431,5.208333,12.990196,17.156863
1978,32.279757,14.357768,14.52589,5.480834,2.084734,19.569603,11.701412
1979,25.200945,17.588653,13.806146,4.964539,3.593381,26.05201,8.794326
1980,22.892939,21.92483,17.767654,5.125285,5.637813,12.585421,14.06606
1981,25.516528,14.772727,10.950413,4.390496,3.409091,29.44215,11.518595
1982,16.659182,20.38617,11.854513,8.486754,10.77683,19.533004,12.303548
1983,12.751678,29.5302,18.669921,6.650396,7.80964,11.104332,13.483831
1984,14.715719,25.250837,17.224081,6.856187,6.270903,14.214046,15.468228
