congress,chamber,year,month,day,session,yea_count,nay_count,nominate_mid_1,nominate_mid_2,nominate_spread_1,nominate_spread_2,nominate_log_likelihood,bill_number,vote_result,vote_desc,vote_question
118,HOUSE,2023,01,03,1,212,222,0.023,-0.045,0.716,-0.133,-0.395,NA,Jeffries,NA,Election of the Speaker
118,HOUSE,2023,01,03,1,212,222,0.023,-0.045,0.716,-0.133,-0.395,NA,Jeffries,NA,Election of the Speaker
118,HOUSE,2023,01,03,1,212,222,0.023,-0.045,0.716,-0.133,-0.395,NA,Jeffries,NA,Election of the Speaker
118,HOUSE,2023,01,04,1,212,221,0.023,-0.045,0.716,-0.133,-0.395,NA,Jeffries,NA,Election of the Speaker
118,HOUSE,2023,01,04,1,212,221,0.023,-0.045,0.716,-0.133,-0.395,NA,Jeffries,NA,Election of the Speaker
118,HOUSE,2023,01,04,1,212,221,0.023,-0.045,0.716,-0.133,-0.395,NA,Jeffries,NA,Election of the Speaker
118,HOUSE,2023,01,04,1,216,214,-0.208,0.978,-0.563,-0.91,-16.223,NA,Passed,NA,On Motion to Adjourn
118,HOUSE,2023,01,05,1,212,221,0.023,-0.045,0.716,-0.133,-0.395,NA,Jeffries,NA,Election of the Speaker
118,HOUSE,2023,01,05,1,212,221,0.023,-0.045,0.716,-0.133,-0.395,NA,Jeffries,NA,Election of the Speaker
118,HOUSE,2023,01,05,1,212,220,0.023,-0.045,0.716,-0.133,-0.395,NA,Jeffries,NA,Election of the Speaker
118,HOUSE,2023,01,05,1,212,220,0.023,-0.045,0.716,-0.133,-0.395,NA,Jeffries,NA,Election of the Speaker
118,HOUSE,2023,01,05,1,212,220,0.023,-0.045,0.716,-0.133,-0.395,NA,Jeffries,NA,Election of the Speaker
118,HOUSE,2023,01,05,1,219,213,-0.145,0.989,-0.489,-0.523,-7.549,NA,Passed,NA,On Motion to Adjourn
118,HOUSE,2023,01,06,1,213,218,-0.246,0.969,-0.539,-1.036,-24.263,NA,McCarthy,NA,Election of the Speaker
118,HOUSE,2023,01,06,1,214,218,-0.236,0.972,-0.545,-0.995,-21.171,NA,McCarthy,NA,Election of the Speaker
118,HOUSE,2023,01,06,1,220,212,0.023,-0.045,-0.716,0.133,-0.395,NA,Passed,NA,On Motion to Adjourn
118,HOUSE,2023,01,06,1,216,216,-0.216,0.976,-0.546,-0.894,-16.055,NA,McCarthy,NA,Election of the Speaker
118,HOUSE,2023,01,06,1,155,279,-0.007,1,-0.218,-0.517,-128.724,NA,Failed,NA,On Motion to Adjourn
