state_fips,county_fips,total_emp,manufacturing_emp,prop_manuf_loss,prop_total_loss
01,001,10628,1,0,0
01,003,52233,1,0,0
01,005,7990,3756,0.09078807241746539,0.04267834793491865
01,007,2927,1,0,0
01,009,6968,1,0,0
01,011,1919,1,0,0
01,013,5400,981,0.3363914373088685,0.06111111111111111
01,015,38324,6581,0.07536848503266981,0.012942281598998016
01,017,6241,1088,0.004595588235294118,8.01153661272232e-4
01,019,3600,1,0,0
01,021,7048,1,0,0
01,023,2969,1,0,0
01,025,6944,1763,0.2909812819058423,0.07387672811059907
01,027,3253,1354,0.04062038404726736,0.01690747002766677
01,029,2071,1,0,0
01,031,12499,1,0,0
01,033,19703,4200,0.01,0.0021316550779069176
01,035,2612,507,0.46745562130177515,0.09073506891271056
01,037,1050,1,0,0
01,039,10810,2152,0.06273234200743494,0.012488436632747455
01,041,3212,1,0,0
01,043,22761,4846,0.08109781262897235,0.01726637669698168
01,045,13221,1,0,0
01,047,11745,1,0,0
01,049,17512,7059,0.21532795013457998,0.08679762448606669
01,051,14374,3185,0.002197802197802198,4.8699039933212745e-4
01,055,29773,4611,0.05291693775753633,0.008195344775467706
01,057,3886,1,0,0
01,059,8984,1,0,0
01,061,4199,1,0,0
01,063,1430,1,0,0
01,065,2314,750,0.005333333333333333,0.001728608470181504
01,067,2722,238,0.06722689075630252,0.005878030859662013
01,069,43725,4924,0.07818846466287571,0.00880503144654088
01,071,11137,4457,0.00987211128561813,0.003950794648469067
01,073,325281,26343,0.16759670500702273,0.013572880063698771
01,075,2875,1,0,0
01,077,25727,4090,0.005623471882640587,8.940024099195398e-4
01,079,4748,1262,0.9144215530903328,0.2430497051390059
01,081,37367,5771,0.3971582048171894,0.06133754382208901
01,085,2320,1,0,0
01,087,6433,1,0,0
01,089,154144,20946,0.0770552850186193,0.010470728669296242
01,091,5963,1657,0.22631261315630657,0.06288780815025993
01,093,7378,2349,0.0464027245636441,0.014773651396042288
01,095,29951,1,0,0
01,097,150599,16065,0.0019919078742608154,2.1248481065611326e-4
01,099,6412,1903,0.2207041513399895,0.06550218340611354
01,101,104319,1,0,0
01,103,43314,12187,0.05768441782226963,0.016230318141940252
01,105,1519,419,0.4200477326968974,0.11586570111915734
01,107,2931,1,0,0
01,109,10775,1,0,0
01,111,3610,1,0,0
01,115,13181,1,0,0
01,117,76171,5775,0.009177489177489178,6.958028646072653e-4
01,119,2986,1,0,0
01,121,21858,1,0,0
01,123,11868,1325,0.49886792452830186,0.05569598921469498
01,125,70373,12555,0.05814416567104739,0.01037329657681213
01,127,15960,1,0,0
01,129,3056,1504,0.125,0.061518324607329845
01,131,2012,607,0.5551894563426688,0.16749502982107356
01,133,6622,1,0,0
02,013,1750,1,0,0
02,016,4953,1,0,0
02,050,3471,1,0,0
02,060,302,1,0,0
02,068,522,1,0,0
02,070,1256,1,0,0
02,090,26479,1,0,0
02,100,590,1,0,0
02,110,10800,1,0,0
02,122,13155,1,0,0
02,130,4686,1,0,0
02,150,4177,1,0,0
02,164,138,1,0,0
02,170,14869,1,0,0
02,180,2160,1,0,0
02,185,2790,1,0,0
02,188,1707,1,0,0
02,201,702,1,0,0
02,220,3424,1,0,0
02,232,447,1,0,0
02,240,783,1,0,0
02,261,2729,1,0,0
02,270,556,1,0,0
02,280,1519,1,0,0
02,282,118,1,0,0
02,290,377,1,0,0
04,001,7526,1,0,0
04,003,28407,1,0,0
04,005,44916,3750,0.0208,0.0017365749398877905
04,007,11724,375,1,0.05783009211873081
04,009,10078,175,1,0.051895217305020835
04,011,545,1,1,1
04,012,3438,1,0,0
04,013,1451978,99260,0.07823896836590771,0.00534856588736193
04,015,42107,3081,0.0032456994482310936,2.3749020352910444e-4
04,017,18493,830,0.3433734939759036,0.01541123668415076
04,019,309243,26958,0.006825432153720602,5.950013419867224e-4
04,023,10773,1,0,0
04,025,53702,1,0,0
04,027,42617,1,0,0
05,001,8293,1,0,0
05,003,6810,3750,0.18666666666666668,0.1027900146842878
05,005,11156,1,0,0
05,007,92837,9944,0.11886564762670958,0.012731992632247918
05,011,2670,1,0,0
05,013,553,60,0.11666666666666667,0.012658227848101266
05,015,8061,1,0,0
05,017,2360,1,0,0
05,019,7592,2031,0.35302806499261447,0.09444151738672286
05,021,3146,721,0.5561719833564494,0.12746344564526382
05,023,5955,1205,0.24896265560165975,0.05037783375314862
05,025,430,1,0,0
05,027,7448,2429,0.10456978180321119,0.0341031149301826
05,029,5345,1750,0.112,0.03666978484565014
05,031,36484,5773,0.16022865061493158,0.025353579651354017
05,033,20842,3824,0.06642259414225941,0.0121869302370214
05,035,13652,1737,0.04605641911341393,0.005859947260474656
05,037,4209,1,0,0
05,039,2980,1750,0.18228571428571427,0.10704697986577182
05,041,3565,750,0.18933333333333333,0.03983169705469846
05,043,4482,1,0,0
05,045,32292,4036,0.035926660059464814,0.004490276229406664
05,047,3202,1,0,0
05,049,1405,1,0,0
05,051,31558,2338,0.07998289136013687,0.005925597312884213
05,053,2959,1,0,0
05,055,12565,4326,0.16273693943596856,0.056028651014723437
05,057,6848,1,0,0
05,059,5810,1350,0.6444444444444445,0.14974182444061962
05,061,6121,1,0,0
05,063,14594,4135,0.06553808948004837,0.01856927504453885
05,065,1941,218,1,0.13189077794951057
05,067,3602,750,0.068,0.014158800666296502
05,069,24421,5655,0.06472148541114059,0.014987101265304451
05,071,7454,1,0,0
05,073,815,1,0,0
05,075,2729,379,0.12401055408970976,0.017222425796995237
05,077,904,1,0,0
05,079,1542,1,0,0
05,081,2977,1750,0.6045714285714285,0.3553913335572724
05,085,10364,1,0,0
05,087,1829,1,0,0
05,089,2760,1107,0.13008130081300814,0.05217391304347826
05,091,10668,1750,0.03428571428571429,0.00562429696287964
05,093,14751,5069,0.31110672716512133,0.10690800623686529
05,095,1677,1,0,0
05,097,973,175,0.5542857142857143,0.09969167523124357
05,099,1842,1,0,0
05,101,592,1,0,0
05,103,8082,2618,0.0748663101604278,0.02425142291512002
05,105,866,1,0,0
05,107,4494,1,0,0
