id,weights,attention_to_politics,pres_vote,economy,immigration,crime,party_id,age,educ,race,gender,income
140001,0.926752673075417,Most of the time,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Strong Republican,50,Bachelor’s degree,Hispanic,Man,212500
140002,2.97990209565835,About half the time,Other,Disapprove strongly,Disapprove not strongly,Disapprove not strongly,Independent,41,"Some post-high school, no bachelor’s degree","Asian or Native Hawaiian/other Pacific Islander, non-Hispanic",Woman,162500
140003,1.13426633346479,Most of the time,Kamala Harris,Approve not strongly,Approve not strongly,Approve not strongly,Strong Democrat,44,"Some post-high school, no bachelor’s degree","White, non-Hispanic",Woman,117500
140004,0.438687743184118,Some of the time,Donald Trump,Disapprove strongly,Approve strongly,Disapprove not strongly,Not very strong Republican,45,"Some post-high school, no bachelor’s degree","Asian or Native Hawaiian/other Pacific Islander, non-Hispanic",Man,37500
140005,0.384116482751774,Most of the time,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Independent-Republican,80,Graduate degree,"White, non-Hispanic",Man,52500
140006,0.719946104029307,Always,Kamala Harris,Approve strongly,Approve strongly,Approve strongly,Independent-Democrat,75,"Some post-high school, no bachelor’s degree","White, non-Hispanic",Woman,42500
140007,0.445478411388616,About half the time,Other,Disapprove strongly,Disapprove strongly,Disapprove strongly,Independent,41,"Some post-high school, no bachelor’s degree","White, non-Hispanic",Woman,37500
140008,0.790983159095423,About half the time,NA,Approve strongly,Approve strongly,Approve strongly,Not very strong Republican,49,"Some post-high school, no bachelor’s degree","White, non-Hispanic",Woman,11250
140010,4.63190880143418,Most of the time,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Independent-Democrat,45,High school credential,Hispanic,Man,2500
140011,1.64776273072483,Never,NA,Disapprove strongly,Disapprove strongly,Disapprove strongly,Strong Democrat,41,High school credential,Hispanic,Woman,62500
140012,1.23631643101826,About half the time,Kamala Harris,Approve not strongly,Disapprove not strongly,Approve not strongly,Not very strong Democrat,59,High school credential,"White, non-Hispanic",Man,137500
140013,1.12980741195046,Some of the time,NA,Approve not strongly,Disapprove not strongly,Disapprove not strongly,Independent-Republican,34,High school credential,"White, non-Hispanic",Woman,2500
140014,0.539310237946328,Always,Kamala Harris,Approve not strongly,Approve not strongly,Approve not strongly,Independent-Democrat,42,Graduate degree,"Asian or Native Hawaiian/other Pacific Islander, non-Hispanic",Man,250000
140016,0.300974591638948,Most of the time,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Strong Republican,70,"Some post-high school, no bachelor’s degree",Hispanic,Man,37500
140017,1.18860629366769,Always,Kamala Harris,Approve not strongly,Disapprove not strongly,Approve not strongly,Independent-Democrat,58,Bachelor’s degree,"White, non-Hispanic",Man,250000
140018,0.659898708879153,Most of the time,Kamala Harris,Approve strongly,Approve not strongly,Approve not strongly,Strong Democrat,59,Bachelor’s degree,"White, non-Hispanic",Man,212500
140019,0.471722472596054,Most of the time,Kamala Harris,Approve not strongly,Disapprove not strongly,Approve not strongly,Not very strong Democrat,66,Bachelor’s degree,"White, non-Hispanic",Woman,77500
140021,1.99426371821439,About half the time,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Strong Republican,35,Bachelor’s degree,Hispanic,Man,162500
140023,4.76131068982183,Most of the time,Kamala Harris,Approve not strongly,Disapprove strongly,Approve not strongly,Independent-Democrat,28,Graduate degree,"White, non-Hispanic",Man,162500
140026,0.329605176237243,Most of the time,Kamala Harris,Approve not strongly,Approve not strongly,Approve not strongly,Strong Democrat,77,Bachelor’s degree,"White, non-Hispanic",Man,52500
140027,0.671916048845457,Most of the time,Donald Trump,Disapprove strongly,Disapprove strongly,Approve not strongly,Strong Republican,76,High school credential,"White, non-Hispanic",Woman,NA
140028,0.649160782792822,About half the time,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Not very strong Republican,54,Bachelor’s degree,"White, non-Hispanic",Man,137500
140029,0.553158801876103,Always,Kamala Harris,Approve strongly,Disapprove not strongly,Approve not strongly,Independent-Republican,70,Graduate degree,"White, non-Hispanic",Man,137500
140030,1.2504329196754,Some of the time,Kamala Harris,Approve not strongly,Approve strongly,Approve not strongly,Not very strong Democrat,45,High school credential,Hispanic,Man,16250
140032,2.35007844716151,Some of the time,NA,Disapprove strongly,Disapprove strongly,Disapprove strongly,Independent-Republican,49,High school credential,"White, non-Hispanic",Man,105000
140033,0.187063472421273,Always,Kamala Harris,Approve not strongly,Disapprove strongly,Approve not strongly,Strong Democrat,50,Graduate degree,"White, non-Hispanic",Woman,26250
140034,0.406978159070231,Always,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Strong Republican,70,Bachelor’s degree,"White, non-Hispanic",Man,212500
140035,0.958686190917741,Most of the time,Kamala Harris,Approve strongly,Approve strongly,Approve not strongly,Independent-Democrat,64,Graduate degree,"White, non-Hispanic",Woman,212500
140037,1.37178867251773,Some of the time,Kamala Harris,Disapprove not strongly,Approve not strongly,Approve not strongly,Not very strong Democrat,75,"Some post-high school, no bachelor’s degree","Black, non-Hispanic",Woman,250000
140038,1.53715793094028,Most of the time,Kamala Harris,Approve not strongly,Disapprove not strongly,Approve not strongly,Not very strong Democrat,32,Graduate degree,"White, non-Hispanic",Woman,85000
140039,0.382778725681278,Always,Kamala Harris,Approve strongly,Approve not strongly,Approve not strongly,Strong Democrat,77,Graduate degree,"White, non-Hispanic",Woman,42500
140040,0.333625125601749,Always,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Not very strong Republican,78,Bachelor’s degree,"White, non-Hispanic",Man,105000
140041,0.409525372784811,Some of the time,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove not strongly,Strong Republican,41,Bachelor’s degree,"White, non-Hispanic",Woman,212500
140043,0.343111173260923,Always,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Strong Republican,52,Graduate degree,"White, non-Hispanic",Man,2500
140044,0.56902379001653,Always,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Strong Republican,57,Bachelor’s degree,"White, non-Hispanic",Woman,162500
140046,0.211610644543564,About half the time,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Strong Republican,NA,Less than high school credential,"White, non-Hispanic",Man,2500
140048,0.88788907487435,About half the time,Kamala Harris,Approve strongly,Approve not strongly,Approve not strongly,Independent-Democrat,42,Bachelor’s degree,"White, non-Hispanic",Man,250000
140049,1.01927849625381,Most of the time,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Strong Republican,46,Bachelor’s degree,"Asian or Native Hawaiian/other Pacific Islander, non-Hispanic",Woman,85000
140050,0.513301476011722,Most of the time,Kamala Harris,Approve strongly,Approve not strongly,Approve not strongly,Independent-Democrat,74,Graduate degree,"White, non-Hispanic",Man,162500
140052,0.12641034026224,Most of the time,Kamala Harris,Approve strongly,Approve strongly,Approve strongly,Strong Democrat,NA,Graduate degree,"Black, non-Hispanic",Woman,NA
140053,1.63046435257395,Always,Donald Trump,Disapprove not strongly,Disapprove not strongly,Disapprove strongly,Independent-Democrat,66,High school credential,"Multiple races, non-Hispanic",Man,2500
140054,1.25778113434598,Most of the time,Other,Disapprove strongly,Disapprove strongly,Disapprove strongly,Independent-Republican,NA,"Some post-high school, no bachelor’s degree","White, non-Hispanic",Woman,NA
140055,0.130146816862713,Most of the time,Kamala Harris,Approve strongly,Approve strongly,Approve not strongly,Strong Democrat,69,Graduate degree,"White, non-Hispanic",Woman,57500
