id,shutdown_blame,shutdown_inconv,region,gender,age,educ,pid,income,weight
100210,Pelosi and the Democrats in Congress,No,Midwest,Male,51,some college,Republican,100 thousand or more,0.8726557
100656,Trump and the Republicans in Congress,Yes,West,Male,47,post-graduate degree,Democrat,100 thousand or more,0.882698
100854,Pelosi and the Democrats in Congress,No,Northeast,Male,52,some college,Republican,75 to under 100 thousand,0.7508868
101010,Trump and the Republicans in Congress,No,South,Male,47,some college,Democrat,50 to under 75 thousand,1.2002163
100690,Pelosi and the Democrats in Congress,No,South,Female,91,high school or less,Republican,Under 20 thousand dollars,1.8103035
100699,Pelosi and the Democrats in Congress,No,West,Male,46,high school or less,Republican,100 thousand or more,1.7234291
100718,Trump and the Republicans in Congress,No,West,Male,64,high school or less,Democrat,75 to under 100 thousand,1.2949093
100572,Pelosi and the Democrats in Congress,Yes,South,Male,75,college degree,Independent,100 thousand or more,0.355256
100583,Trump and the Republicans in Congress,No,South,Female,64,college degree,Democrat,20 to under 35 thousand,1.1179417
100682,Pelosi and the Democrats in Congress,No,South,Female,70,post-graduate degree,Republican,100 thousand or more,0.4688172
100694,Trump and the Republicans in Congress,No,West,Male,83,college degree,Democrat,35 to under 50 thousand,0.4612074
100708,Trump and the Republicans in Congress,No,West,Male,20,high school or less,Republican,50 to under 75 thousand,1.2329953
100723,Trump and the Republicans in Congress,No,Northeast,Female,55,high school or less,Democrat,50 to under 75 thousand,1.3584234
100746,Pelosi and the Democrats in Congress,No,South,Male,62,high school or less,Republican,20 to under 35 thousand,1.9184578
100773,NA,Yes,Northeast,Female,32,some college,Independent,20 to under 35 thousand,1.7386228
100909,Trump and the Republicans in Congress,No,West,Female,71,college degree,Independent,35 to under 50 thousand,0.5498663
100926,Trump and the Republicans in Congress,No,West,Male,19,high school or less,Independent,20 to under 35 thousand,1.6819516
100944,Pelosi and the Democrats in Congress,No,West,Male,57,high school or less,Republican,100 thousand or more,1.0039758
100981,Trump and the Republicans in Congress,No,Midwest,Male,56,some college,NA,100 thousand or more,0.7188294
100996,Pelosi and the Democrats in Congress,No,South,Male,65,high school or less,Republican,35 to under 50 thousand,1.2507586
101012,NA,Yes,West,Male,54,post-graduate degree,Republican,100 thousand or more,0.5313028
101053,Pelosi and the Democrats in Congress,No,West,Female,21,some college,Republican,75 to under 100 thousand,1.9476396
100790,Trump and the Republicans in Congress,No,South,Female,19,some college,Democrat,75 to under 100 thousand,1.6208243
100838,Trump and the Republicans in Congress,No,Northeast,Male,23,high school or less,Independent,Under 20 thousand dollars,3.213026
100899,Trump and the Republicans in Congress,No,West,Female,64,post-graduate degree,Democrat,50 to under 75 thousand,0.933549
100918,NA,No,Midwest,Female,56,post-graduate degree,Republican,75 to under 100 thousand,1.0142375
100438,Trump and the Republicans in Congress,No,Northeast,Female,67,some college,Democrat,35 to under 50 thousand,0.5836554
100577,Pelosi and the Democrats in Congress,Yes,South,Female,53,some college,Republican,100 thousand or more,0.8954958
100092,Trump and the Republicans in Congress,No,Northeast,Female,89,high school or less,Democrat,35 to under 50 thousand,0.8856383
100561,NA,No,South,Female,81,high school or less,Republican,Under 20 thousand dollars,0.8858999
100643,Trump and the Republicans in Congress,No,South,Male,44,college degree,Democrat,100 thousand or more,1.0570467
214,NA,No,NA,Female,43,some college,Democrat,100 thousand or more,1.2251469
